tokens,ner_tags
"['KL30', '8293453178', 'Issued', 'on', '19-07-2017', 'Expires', 'on', '30-08-2015']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL29', '8574149614', 'Issued', 'on', '06-05-2013', 'Expires', 'on', '03-03-2007']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL58', '5710360983', 'Issued', 'on', '24-05-2013', 'Expires', 'on', '02-07-2024']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Emergency', 'Contact', '417-618-2278']","[17, 17, 17]"
"['Permanent', 'Address', '83465', 'Lam', 'Mission', 'Apt.', '331', 'Andrewside,', 'IN', '77629', 'Present', 'Address', '031', 'Michele', 'Cliffs', 'West', 'Elizabeth,', 'IL', '71179']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Emergency', 'Contact', '(399)873-7631']","[17, 17, 17]"
"['Permanent', 'Address', '0106', 'Mcbride', 'Coves', 'Apt.', '338', 'Taylorburgh,', 'KY', '61138', 'Present', 'Address', '8108', 'Tanya', 'Terrace', 'East', 'Richard,', 'NJ', '28517']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Blood', 'Group', 'O-', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['Permanent', 'Address', '60647', 'Henderson', 'Street', 'Mooreport,', 'IL', '08166', 'Present', 'Address', '500', 'Shaw', 'Walk', 'North', 'Susan,', 'CO', '24857']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Emergency', 'Contact', '291-336-1939']","[17, 17, 17]"
"['Permanent', 'Address', '3534', 'Anderson', 'Rue', 'Suite', '751', 'South', 'Christineshire,', 'CT', '10103', 'Present', 'Address', '51354', 'Samuel', 'Plains', 'Suite', '980', 'Sarahville,', 'FM', '18102']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Emergency', 'Contact', '911-682-4493x534']","[17, 17, 17]"
"['Permanent', 'Address', 'PSC', '0164,', 'Box', '0052', 'APO', 'AP', '34836', 'Present', 'Address', '680', 'Charles', 'Spurs', 'Apt.', '805', 'South', 'David,', 'ME', '48296']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Permanent', 'Address', 'PSC', '0533,', 'Box', '1586', 'APO', 'AP', '98736', 'Present', 'Address', '26025', 'Pham', 'Way', 'West', 'Erik,', 'UT', '14669']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL39', '8615270538', 'Issued', 'on', '20-03-2018', 'Expires', 'on', '08-07-2006']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Courtney', 'Velasquez', 'DOB', '10-11-2020']","[0, 0, 3, 3]"
"['Emergency', 'Contact', '(843)730-3654x145']","[17, 17, 17]"
"['Emergency', 'Contact', '8147294019']","[17, 17, 17]"
"['Blood', 'Group', 'O-', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['KL55', '3783290795', 'Issued', 'on', '27-12-2029', 'Expires', 'on', '15-11-2015']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '9340', 'Smith', 'Valley', 'West', 'Ryan,', 'TN', '43780', 'Present', 'Address', '484', 'Nguyen', 'Square', 'Angelaborough,', 'MT', '87654']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL41', '5996775663', 'Issued', 'on', '05-02-2018', 'Expires', 'on', '30-03-2028']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'B-', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['Emergency', 'Contact', '001-729-994-6804x4369']","[17, 17, 17]"
"['Emergency', 'Contact', '573.687.2148x951']","[17, 17, 17]"
"['KL14', '8752612686', 'Issued', 'on', '03-11-2012', 'Expires', 'on', '22-12-2011']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'A+', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['Angel', 'Riggs', 'DOB', '30-12-2025']","[0, 0, 3, 3]"
"['Permanent', 'Address', '6936', 'Ross', 'Drive', 'Port', 'Michelleville,', 'WI', '56225', 'Present', 'Address', '83172', 'Contreras', 'Points', 'Suite', '798', 'Rivasside,', 'NV', '21362']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Permanent', 'Address', '4348', 'Sims', 'Harbor', 'Suite', '143', 'Matthewside,', 'CO', '18637', 'Present', 'Address', '231', 'Russell', 'Plains', 'Suite', '603', 'Priceshire,', 'UT', '03061']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL73', '2970753705', 'Issued', 'on', '14-10-2024', 'Expires', 'on', '21-02-2018']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL41', '7609857128', 'Issued', 'on', '05-06-2021', 'Expires', 'on', '26-05-2005']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', 'USNV', 'Molina', 'FPO', 'AA', '71046', 'Present', 'Address', '3467', 'Paul', 'Skyway', 'Ramseymouth,', 'PW', '17229']","[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Blood', 'Group', 'O-', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['KL27', '7483366056', 'Issued', 'on', '16-05-2026', 'Expires', 'on', '16-05-2023']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL16', '4698408854', 'Issued', 'on', '12-02-2006', 'Expires', 'on', '09-08-2018']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL30', '5567816720', 'Issued', 'on', '03-05-2025', 'Expires', 'on', '27-05-2024']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'O-', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['Angela', 'Patterson', 'DOB', '27-11-2020']","[0, 0, 3, 3]"
"['Emergency', 'Contact', '(804)665-3755']","[17, 17, 17]"
"['KL24', '8047877267', 'Issued', 'on', '18-07-2019', 'Expires', 'on', '13-10-2013']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL65', '5974249674', 'Issued', 'on', '26-12-2007', 'Expires', 'on', '14-03-2021']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL43', '4272602734', 'Issued', 'on', '09-11-2005', 'Expires', 'on', '21-07-2023']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'A+', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['Emergency', 'Contact', '4535100330']","[17, 17, 17]"
"['Blood', 'Group', 'B-', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['Blood', 'Group', 'B-', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['Permanent', 'Address', '374', 'Jackson', 'Rest', 'Port', 'Loriport,', 'CT', '76350', 'Present', 'Address', '663', 'Brittany', 'Village', 'Apt.', '149', 'Port', 'Tonyaton,', 'MI', '70328']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Blood', 'Group', 'A+', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['Emergency', 'Contact', '(451)685-0671x65726']","[17, 17, 17]"
"['Emergency', 'Contact', '+1-587-976-9453x147']","[17, 17, 17]"
"['KL17', '1338258951', 'Issued', 'on', '02-08-2024', 'Expires', 'on', '18-12-2025']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '75273', 'Salinas', 'Junctions', 'Suite', '948', 'New', 'Stacyland,', 'IA', '94882', 'Present', 'Address', '777', 'Christopher', 'Forges', 'Holtport,', 'TN', '76726']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Emergency', 'Contact', '(678)585-6855x744']","[17, 17, 17]"
"['Corey', 'Wilson', 'DOB', '07-06-2023']","[0, 0, 3, 3]"
"['Blood', 'Group', 'B-', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['Permanent', 'Address', 'USNS', 'Lee', 'FPO', 'AP', '63965', 'Present', 'Address', '34352', 'Smith', 'Place', 'Apt.', '400', 'Heidiberg,', 'SC', '99170']","[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Shane', 'Andrews', 'MD', 'DOB', '08-03-2020']","[0, 0, 3, 3]"
"['KL77', '6633778586', 'Issued', 'on', '16-10-2016', 'Expires', 'on', '22-06-2011']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Dawn', 'Hensley', 'DOB', '29-01-2009']","[0, 0, 3, 3]"
"['Permanent', 'Address', '1902', 'Lisa', 'Hollow', 'Apt.', '318', 'Obrienbury,', 'WI', '68995', 'Present', 'Address', '9649', 'Chelsea', 'Streets', 'Apt.', '334', 'East', 'Johnside,', 'CA', '21018']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Blood', 'Group', 'O-', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['KL18', '2452066459', 'Issued', 'on', '16-04-2005', 'Expires', 'on', '05-02-2019']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '0344', 'Jones', 'Fort', 'Suite', '936', 'New', 'Jeffreyberg,', 'PW', '35317', 'Present', 'Address', '24994', 'Martinez', 'Spurs', 'Hollyview,', 'NY', '71277']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL38', '1030884438', 'Issued', 'on', '31-12-2021', 'Expires', 'on', '04-02-2020']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '5940', 'Jeremy', 'Spring', 'Port', 'Emilyview,', 'OK', '05774', 'Present', 'Address', '8742', 'Walters', 'Overpass', 'South', 'Michaelmouth,', 'MD', '88336']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL18', '4888749350', 'Issued', 'on', '03-10-2008', 'Expires', 'on', '02-09-2010']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Emergency', 'Contact', '267-946-8071x54516']","[17, 17, 17]"
"['KL40', '3084839399', 'Issued', 'on', '05-04-2019', 'Expires', 'on', '16-01-2007']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'O-', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['Emergency', 'Contact', '485.697.7034']","[17, 17, 17]"
"['Emergency', 'Contact', '371.509.3248x086']","[17, 17, 17]"
"['KL22', '8125276666', 'Issued', 'on', '22-01-2009', 'Expires', 'on', '24-11-2020']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'O-', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['Emergency', 'Contact', '527-948-4677']","[17, 17, 17]"
"['KL93', '1422701550', 'Issued', 'on', '15-12-2023', 'Expires', 'on', '13-02-2010']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'AB+', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['KL34', '7598297060', 'Issued', 'on', '02-04-2018', 'Expires', 'on', '07-09-2011']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL33', '6491309593', 'Issued', 'on', '04-08-2025', 'Expires', 'on', '29-06-2022']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL19', '3363629219', 'Issued', 'on', '04-11-2009', 'Expires', 'on', '29-07-2007']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL79', '4590711152', 'Issued', 'on', '07-08-2014', 'Expires', 'on', '26-04-2019']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Richard', 'Adams', 'DOB', '14-04-2005']","[0, 0, 3, 3]"
"['Edwin', 'Matthews', 'DOB', '27-08-2027']","[0, 0, 3, 3]"
"['Emergency', 'Contact', '527.887.5588x6753']","[17, 17, 17]"
"['KL72', '3067418686', 'Issued', 'on', '22-02-2013', 'Expires', 'on', '05-03-2019']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Emergency', 'Contact', '7573662702']","[17, 17, 17]"
"['Jessica', 'Fox', 'DOB', '29-09-2020']","[0, 0, 3, 3]"
"['KL10', '9526836552', 'Issued', 'on', '20-09-2005', 'Expires', 'on', '12-10-2029']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL68', '6520103410', 'Issued', 'on', '07-02-2010', 'Expires', 'on', '24-02-2019']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '74596', 'Melissa', 'Walk', 'Finleyfort,', 'VI', '71413', 'Present', 'Address', '43161', 'Scott', 'Square', 'Rebeccaton,', 'MD', '07856']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Permanent', 'Address', '2386', 'George', 'Common', 'Suite', '937', 'East', 'Steven,', 'KS', '60737', 'Present', 'Address', '4821', 'Landry', 'Radial', 'Daniellechester,', 'UT', '33281']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Emergency', 'Contact', '643.267.1369x594']","[17, 17, 17]"
"['Permanent', 'Address', 'Unit', '6409', 'Box', '0974', 'DPO', 'AE', '80070', 'Present', 'Address', '394', 'Courtney', 'Road', 'West', 'Kristinaton,', 'OR', '48324']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Blood', 'Group', 'B-', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['KL17', '3328710672', 'Issued', 'on', '12-02-2030', 'Expires', 'on', '02-09-2009']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '6232', 'Schmidt', 'Groves', 'Apt.', '474', 'Lindamouth,', 'CA', '18950', 'Present', 'Address', '685', 'Krystal', 'Bridge', 'Amandamouth,', 'MN', '88689']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL84', '3281169403', 'Issued', 'on', '28-01-2028', 'Expires', 'on', '13-02-2014']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL75', '1798112150', 'Issued', 'on', '01-02-2025', 'Expires', 'on', '01-03-2018']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '37098', 'Herman', 'Forges', 'Apt.', '746', 'East', 'Brandonton,', 'ME', '65070', 'Present', 'Address', '267', 'Santiago', 'Summit', 'Matthewsberg,', 'FM', '54880']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Permanent', 'Address', '640', 'Robinson', 'Mills', 'Apt.', '515', 'Bruceview,', 'ID', '16512', 'Present', 'Address', 'USCGC', 'Davis', 'FPO', 'AE', '84610']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]"
"['KL25', '3446737272', 'Issued', 'on', '16-12-2026', 'Expires', 'on', '08-07-2025']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', 'Unit', '0532', 'Box', '9318', 'DPO', 'AE', '77359', 'Present', 'Address', '2904', 'Vanessa', 'Plains', 'Laurenville,', 'TN', '03880']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL20', '7540301973', 'Issued', 'on', '06-09-2009', 'Expires', 'on', '14-09-2005']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Richard', 'Chapman', 'DOB', '26-09-2005']","[0, 0, 3, 3]"
"['KL50', '6320115677', 'Issued', 'on', '16-02-2011', 'Expires', 'on', '24-03-2014']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'AB+', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['KL19', '5334976883', 'Issued', 'on', '25-12-2006', 'Expires', 'on', '06-07-2009']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '177', 'Palmer', 'Coves', 'Gordonton,', 'VA', '86864', 'Present', 'Address', '007', 'Simmons', 'Coves', 'Suite', '711', 'Charleneland,', 'DC', '36547']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Permanent', 'Address', '9847', 'Garcia', 'Squares', 'Apt.', '836', 'Beasleychester,', 'MA', '59942', 'Present', 'Address', '6545', 'Gloria', 'Mountains', 'North', 'Marieland,', 'NE', '13157']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL78', '2139027119', 'Issued', 'on', '17-11-2017', 'Expires', 'on', '17-08-2009']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Laurie', 'Hoffman', 'DOB', '31-05-2016']","[0, 0, 3, 3]"
"['Emergency', 'Contact', '+1-416-956-0494x51983']","[17, 17, 17]"
"['Emergency', 'Contact', '815.285.1493']","[17, 17, 17]"
"['Blood', 'Group', 'B-', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['Emergency', 'Contact', '+1-840-324-4550x229']","[17, 17, 17]"
"['Permanent', 'Address', '83667', 'Moore', 'Inlet', 'Kimberlyshire,', 'PA', '11636', 'Present', 'Address', '90147', 'Tucker', 'Mills', 'Nelsonhaven,', 'DE', '45743']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Permanent', 'Address', '978', 'Williams', 'Locks', 'Apt.', '034', 'Port', 'Derrick,', 'KS', '38439', 'Present', 'Address', '6226', 'Vincent', 'Village', 'Charleston,', 'NE', '02957']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Blake', 'Edwards', 'DOB', '21-10-2019']","[0, 0, 3, 3]"
"['Permanent', 'Address', '1605', 'Laurie', 'River', 'Suite', '516', 'East', 'Ryanfurt,', 'NC', '10809', 'Present', 'Address', '535', 'Charles', 'Roads', 'Apt.', '883', 'Michaelberg,', 'IA', '13975']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL80', '3849232839', 'Issued', 'on', '07-03-2010', 'Expires', 'on', '28-11-2013']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Lance', 'Wolf', 'DOB', '03-07-2027']","[0, 0, 3, 3]"
"['KL24', '4821286999', 'Issued', 'on', '06-10-2007', 'Expires', 'on', '24-03-2011']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', 'USCGC', 'Marshall', 'FPO', 'AP', '76453', 'Present', 'Address', '527', 'Taylor', 'Roads', 'Suite', '490', 'Williamport,', 'NH', '59734']","[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL46', '3597724331', 'Issued', 'on', '24-06-2006', 'Expires', 'on', '19-02-2007']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '19986', 'Carpenter', 'Turnpike', 'Apt.', '793', 'Cassidyhaven,', 'FL', '08610', 'Present', 'Address', '182', 'John', 'Mill', 'Suite', '889', 'West', 'Nathan,', 'LA', '51280']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL91', '8958199946', 'Issued', 'on', '09-02-2019', 'Expires', 'on', '17-09-2016']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'AB+', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['KL64', '8856990236', 'Issued', 'on', '19-04-2028', 'Expires', 'on', '17-07-2025']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL52', '4311931853', 'Issued', 'on', '24-12-2006', 'Expires', 'on', '31-08-2026']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '1864', 'Cummings', 'Shoals', 'West', 'Christopher,', 'TN', '19038', 'Present', 'Address', 'PSC', '4629,', 'Box', '1486', 'APO', 'AP', '43555']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL66', '1041531046', 'Issued', 'on', '19-07-2009', 'Expires', 'on', '31-12-2027']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL98', '4882343658', 'Issued', 'on', '10-02-2029', 'Expires', 'on', '09-07-2028']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'AB+', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['Blood', 'Group', 'A+', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['Blood', 'Group', 'A+', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['KL41', '3864457210', 'Issued', 'on', '09-02-2023', 'Expires', 'on', '18-05-2008']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'O-', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['Jessica', 'Cox', 'DOB', '15-07-2017']","[0, 0, 3, 3]"
"['KL30', '4482238042', 'Issued', 'on', '16-09-2015', 'Expires', 'on', '02-05-2011']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Emergency', 'Contact', '357.233.2214']","[17, 17, 17]"
"['KL52', '6360837474', 'Issued', 'on', '21-09-2027', 'Expires', 'on', '28-08-2016']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL99', '5759234471', 'Issued', 'on', '24-03-2026', 'Expires', 'on', '28-08-2009']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Emergency', 'Contact', '+1-962-622-9270x653']","[17, 17, 17]"
"['Emergency', 'Contact', '001-873-483-4735x97746']","[17, 17, 17]"
"['KL68', '6796738787', 'Issued', 'on', '29-12-2011', 'Expires', 'on', '09-10-2025']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Emergency', 'Contact', '(640)375-8181']","[17, 17, 17]"
"['Emergency', 'Contact', '001-824-778-2613x75060']","[17, 17, 17]"
"['KL94', '6124453431', 'Issued', 'on', '22-03-2013', 'Expires', 'on', '04-05-2018']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL18', '6493800024', 'Issued', 'on', '23-12-2007', 'Expires', 'on', '15-12-2017']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '52204', 'Horton', 'Dam', 'Suite', '790', 'North', 'Jonathanberg,', 'OH', '95821', 'Present', 'Address', '43410', 'Robert', 'Underpass', 'Suite', '117', 'Lake', 'Zacharybury,', 'VT', '19319']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['Blood', 'Group', 'AB+', 'Organ', 'Donor', 'YES']","[13, 13, 13, 14, 14, 14]"
"['KL43', '2140169349', 'Issued', 'on', '09-02-2015', 'Expires', 'on', '21-10-2019']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL65', '8672650595', 'Issued', 'on', '02-04-2005', 'Expires', 'on', '12-02-2026']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'A+', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['Emergency', 'Contact', '(239)862-1851x888']","[17, 17, 17]"
"['KL15', '8339176912', 'Issued', 'on', '12-03-2021', 'Expires', 'on', '06-09-2006']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['KL78', '6141226746', 'Issued', 'on', '29-10-2026', 'Expires', 'on', '12-05-2018']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Blood', 'Group', 'AB+', 'Organ', 'Donor', 'NO']","[13, 13, 13, 14, 14, 14]"
"['Permanent', 'Address', 'Unit', '4051', 'Box', '5319', 'DPO', 'AP', '99680', 'Present', 'Address', '8527', 'Welch', 'Valleys', 'North', 'Jennifer,', 'NH', '05348']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL48', '7473041886', 'Issued', 'on', '08-03-2015', 'Expires', 'on', '22-01-2012']","[5, 5, 18, 6, 6, 18, 7, 7]"
"['Permanent', 'Address', '54868', 'King', 'Terrace', 'West', 'Michael,', 'WI', '06766', 'Present', 'Address', '1566', 'Kline', 'Lights', 'Suite', '277', 'Sandrahaven,', 'KY', '11329']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"['KL99', '1546696950', 'Issued', 'on', '08-12-2029', 'Expires', 'on', '23-08-2019']","[5, 5, 18, 6, 6, 18, 7, 7]"
